Title,Author,Genre,Language
Heidi,Johanna Spyri,Children's Fiction,German
Ulysses,James Joyce,Modernist Fiction,English
The Complete Sherlock Holmes,Arthur Conan Doyle,Mystery,English
The Count of Monte Cristo,Alexandre Dumas,Adventure,French
The Old Man and the Sea,Ernest Hemingway,Literary Fiction,English
The Lion; the Witch; and the Wardrobe,C.S. Lewis,Fantasy,English
The Hunchback of Notre Dame,Victor Hugo,Gothic Fiction,French
Pinocchio,Carlo Collodi,Fantasy,Italian
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,Spanish
Ivanhoe,Walter Scott,Historical Fiction,English
The Red Badge of Courage,Stephen Crane,War Fiction,English
Anne of Green Gables,L.M. Montgomery,Children's Fiction,English
Black Beauty,Anna Sewell,Children's Fiction,English
Peter Pan,J.M. Barrie,Fantasy,English
A Farewell to Arms,Ernest Hemingway,War Fiction,English
The House of the Seven Gables,Nathaniel Hawthorne,Gothic Fiction,English
Lord of the Flies,William Golding,Allegory,English
The Prince and the Pauper,Mark Twain,Historical Fiction,English
A Portrait of the Artist as a Young Man,James Joyce,Modernist Fiction,English
Lord Jim,Joseph Conrad,Adventure,English
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,English
The Red & the Black,Stendhal,Psychological Fiction,French
The Stranger,Albert Camus,Absurdist Fiction,French
The Trial,Franz Kafka,Philosophical Fiction,German
Lady Chatterley's Lover,D.H. Lawrence,Romance,English
Kidnapped,Robert Louis Stevenson,Adventure,English
The Catcher in the Rye,J.D. Salinger,Coming-of-age,English
Fahrenheit 451,Ray Bradbury,Dystopian,English
A Journey to the Center of the Earth,Jules Verne,Science Fiction,French
Vanity Fair,William Makepeace Thackeray,Satire,English
All Quiet on the Western Front,Erich Maria Remarque,War Fiction,German
Gone with the Wind,Margaret Mitchell,Historical Fiction,English
My Ántonia,Willa Cather,Literary Fiction,English
Of Mice and Men,John Steinbeck,Social Realism,English
The Vicar of Wakefield,Oliver Goldsmith,Literary Fiction,English
A Connecticut Yankee in King Arthur's Court,Mark Twain,Fantasy/Satire,English
White Fang,Jack London,Adventure,English
Fathers and Sons,Ivan Turgenev,Literary Fiction,Russian
Doctor Zhivago,Boris Pasternak,Historical Fiction,Russian
The Decameron,Giovanni Boccaccio,Short Stories,Italian
Nineteen Eighty-Four,George Orwell,Dystopian,English
The Jungle,Upton Sinclair,Social Realism,English
The Da Vinci Code,Dan Brown,Thriller,English
Persuasion,Jane Austen,Romance,English
Mansfield Park,Jane Austen,Romance,English
Candide,Voltaire,Satire,French
For Whom the Bell Tolls,Ernest Hemingway,War Fiction,English
Far from the Madding Crowd,Thomas Hardy,Literary Fiction,English
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,English
The Return of the Native,Thomas Hardy,Tragedy,English
Sons and Lovers,D.H. Lawrence,Modernist Fiction,English
Charlotte's Web,E.B. White,Children's Fiction,English
The Swiss Family Robinson,Johann David Wyss,Adventure,German
Bleak House,Charles Dickens,Legal Fiction,English
Utopia,Thomas More,Political Philosophy,Latin
The Sun Also Rises,Ernest Hemingway,Modernist Fiction,English
Middlemarch,George Eliot,Realism,English
The Brothers Karamazov,Fyodor Dostoyevsky,Philosophical Fiction,Russian
The Metamorphosis,Franz Kafka,Absurdist Fiction,German
The Portrait of a Lady,Henry James,Psychological Fiction,English
The Age of Innocence,Edith Wharton,Social Satire,English
Main Street,Sinclair Lewis,Satire,English
The Good Earth,Pearl S. Buck,Historical Fiction,English
Invisible Man,Ralph Ellison,Social Fiction,English
Native Son,Richard Wright,Urban Realism,English
The Sound and the Fury,William Faulkner,Modernist Fiction,English
As I Lay Dying,William Faulkner,Southern Gothic,English
Heart of Darkness,Joseph Conrad,Novella,English
Kim,Rudyard Kipling,Adventure,English
The Jungle Book,Rudyard Kipling,Short Stories,English
The Way of All Flesh,Samuel Butler,Semi-autobiographical,English
The Bridge of San Luis Rey,Thornton Wilder,Philosophical Fiction,English
Death Comes for the Archbishop,Willa Cather,Historical Fiction,English
Catch-22,Joseph Heller,Satire,English
Slaughterhouse-Five,Kurt Vonnegut,Sci-Fi/Satire,English
Rebecca,Daphne du Maurier,Gothic Thriller,English
The Chronicles of Narnia,C.S. Lewis,Fantasy,English
The Golden Notebook,Doris Lessing,Post-modernism,English
To the Lighthouse,Virginia Woolf,Modernist Fiction,English
Mrs. Dalloway,Virginia Woolf,Modernist Fiction,English
Beloved,Toni Morrison,Magical Realism,English
Song of Solomon,Toni Morrison,Literary Fiction,English
The Color Purple,Alice Walker,Epistolary Fiction,English
Lolita,Vladimir Nabokov,Literary Fiction,English
Pale Fire,Vladimir Nabokov,Post-modernism,English
Things Fall Apart,Chinua Achebe,Historical Fiction,English
Midnight's Children,Salman Rushdie,Magical Realism,English
The Satanic Verses,Salman Rushdie,Magical Realism,English
The Name of the Rose,Umberto Eco,Historical Mystery,Italian
If on a Winter's Night a Traveler,Italo Calvino,Post-modernism,Italian
The Unbearable Lightness of Being,Milan Kundera,Philosophical Fiction,Czech
The Tin Drum,Günter Grass,Magic Realism,German
Steppenwolf,Hermann Hesse,Philosophical Fiction,German
Siddhartha,Hermann Hesse,Philosophical Fiction,German
The Magic Mountain,Thomas Mann,Philosophical Fiction,German
Death in Venice,Thomas Mann,Novella,German
Faust,Johann Wolfgang von Goethe,Tragedy,German
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Epistolary,German
Les Liaisons Dangereuses,Pierre Choderlos de Laclos,Epistolary,French
The Charterhouse of Parma,Stendhal,Historical Fiction,French
Germinal,Émile Zola,Naturalism,French
Nana,Émile Zola,Naturalism,French
In Search of Lost Time,Marcel Proust,Modernist Fiction,French
Journey to the End of the Night,Louis-Ferdinand Céline,Modernist Fiction,French
The Plague,Albert Camus,Philosophical Fiction,French
The Second Sex,Simone de Beauvoir,Philosophy/Fiction,French
The Tale of Genji,Murasaki Shikibu,Classic,Japanese
Kokoro,Natsume Soseki,Literary Fiction,Japanese
Snow Country,Yasunari Kawabata,Literary Fiction,Japanese
The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,Japanese
Kafka on the Shore,Haruki Murakami,Magical Realism,Japanese
Dream of the Red Chamber,Cao Xueqin,Family Saga,Chinese
Journey to the West,Wu Cheng'en,Mythology/Adventure,Chinese
Water Margin,Shi Nai'an,Historical Adventure,Chinese
Romance of the Three Kingdoms,Luo Guanzhong,Historical Epic,Chinese
The House of the Spirits,Isabel Allende,Magical Realism,Spanish
Ficciones,Jorge Luis Borges,Short Stories,Spanish
The Aleph,Jorge Luis Borges,Short Stories,Spanish
Pedro Páramo,Juan Rulfo,Magical Realism,Spanish
Hopscotch,Julio Cortázar,Experimental Fiction,Spanish
The Death of Artemio Cruz,Carlos Fuentes,Historical Fiction,Spanish
The Shadow of the Wind,Carlos Ruiz Zafón,Gothic Mystery,Spanish
The Alchemist,Paulo Coelho,Adventure/Fable,Portuguese
Blindness,José Saramago,Psychological Fiction,Portuguese
The Year of the Death of Ricardo Reis,José Saramago,Literary Fiction,Portuguese
The Idiot,Fyodor Dostoyevsky,Psychological Fiction,Russian
The Master and Margarita,Mikhail Bulgakov,Satire/Fantasy,Russian
Dead Souls,Nikolai Gogol,Satire,Russian
The Overcoat,Nikolai Gogol,Short Story,Russian
A Hero of Our Time,Mikhail Lermontov,Psychological Fiction,Russian
Life and Fate,Vasily Grossman,Historical Fiction,Russian
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,Historical Fiction,Russian
The Gulag Archipelago,Aleksandr Solzhenitsyn,Non-fiction/Narrative,Russian
Lolita,Vladimir Nabokov,Literary Fiction,English/Russian
The Sea; the Sea,Iris Murdoch,Literary Fiction,English
Possession,A.S. Byatt,Historical Fiction/Romance,English
The Remains of the Day,Kazuo Ishiguro,Literary Fiction,English
Never Let Me Go,Kazuo Ishiguro,Sci-Fi/Dystopian,English
Atonement,Ian McEwan,Historical Fiction,English
The Line of Beauty,Alan Hollinghurst,Literary Fiction,English
White Teeth,Zadie Smith,Contemporary Fiction,English
The Handmaid's Tale,Margaret Atwood,Dystopian,English
Alias Grace,Margaret Atwood,Historical Fiction,English
Life of Pi,Yann Martel,Adventure/Fable,English
The English Patient,Michael Ondaatje,Historical Fiction,English
The Book Thief,Markus Zusak,Historical Fiction,English
Schindler's Ark,Thomas Keneally,Historical Fiction,English
True History of the Kelly Gang,Peter Carey,Historical Fiction,English
Cloudstreet,Tim Winton,Family Saga,English
Disgrace,J.M. Coetzee,Literary Fiction,English
Life & Times of Michael K,J.M. Coetzee,Literary Fiction,English
Nervous Conditions,Tsitsi Dangarembga,Post-colonial,English
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction,English
Americanah,Chimamanda Ngozi Adichie,Contemporary Fiction,English
Wolf Hall,Hilary Mantel,Historical Fiction,English
The Aeneid,Virgil,Epic Poetry,Latin
The Odyssey,Homer,Epic Poetry,Ancient Greek
The Iliad,Homer,Epic Poetry,Ancient Greek
The Divine Comedy,Dante Alighieri,Epic Poetry,Italian
The Canterbury Tales,Geoffrey Chaucer,Story Collection,Middle English
Paradise Lost,John Milton,Epic Poetry,English
Beowulf,Unknown,Epic Poetry,Old English
The Epic of Gilgamesh,Unknown,Epic Poetry,Akkadian
The Ramayana,Valmiki,Epic Poetry,Sanskrit
The Mahabharata,Vyasa,Epic Poetry,Sanskrit
Metamorphoses,Ovid,Mythology,Latin
The Thousand and One Nights,Unknown,Folklore,Arabic
The Recognition of Shakuntala,Kalidasa,Drama,Sanskrit
The Dream of the Red Chamber,Cao Xueqin,Family Saga,Chinese
The Golden Ass,Apuleius,Picaresque,Latin
The Tale of Genji,Murasaki Shikibu,Classic,Japanese
Gargantua and Pantagruel,François Rabelais,Satire,French
The Princess of Cleves,Madame de La Fayette,Psychological Fiction,French
Robinson Crusoe,Daniel Defoe,Adventure,English
Moll Flanders,Daniel Defoe,Picaresque,English
Clarissa,Samuel Richardson,Epistolary,English
Tom Jones,Henry Fielding,Picaresque,English
Tristram Shandy,Laurence Sterne,Experimental Fiction,English
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Romance,German
The Betrothed,Alessandro Manzoni,Historical Fiction,Italian
Dead Souls,Nikolai Gogol,Satire,Russian
The Charterhouse of Parma,Stendhal,Historical Fiction,French
Lost Illusions,Honoré de Balzac,Realism,French
Pere Goriot,Honoré de Balzac,Realism,French
Bel-Ami,Guy de Maupassant,Realism,French
Germinal,Émile Zola,Naturalism,French
Hunger,Knut Hamsun,Modernism,Norwegian
Pan,Knut Hamsun,Modernism,Norwegian
Independent People,Halldór Laxness,Social Realism,Icelandic
The Growth of the Soil,Knut Hamsun,Realism,Norwegian
Niels Lyhne,Jens Peter Jacobsen,Naturalism,Danish
The Death of Ivan Ilyich,Leo Tolstoy,Philosophical Fiction,Russian
The Kreutzer Sonata,Leo Tolstoy,Novella,Russian
The Enchanted Wanderer,Nikolai Leskov,Literary Fiction,Russian
The Golovlyov Family,Mikhail Saltykov-Shchedrin,Satire,Russian
The Master and Margarita,Mikhail Bulgakov,Satire/Fantasy,Russian
The White Guard,Mikhail Bulgakov,Historical Fiction,Russian
The Heart of a Dog,Mikhail Bulgakov,Satire,Russian
Invitation to a Beheading,Vladimir Nabokov,Dystopian,Russian
The Defense,Vladimir Nabokov,Psychological Fiction,Russian
The Man Without Qualities,Robert Musil,Philosophical Fiction,German
Berlin Alexanderplatz,Alfred Döblin,Modernism,German
The Death of Virgil,Hermann Broch,Modernism,German
The Sleepwalkers,Hermann Broch,Modernism,German
Malina,Ingeborg Bachmann,Experimental Fiction,German
The Wall,Marlen Haushofer,Dystopian,German
The Quest for Christa T.,Christa Wolf,Literary Fiction,German
Cassandra,Christa Wolf,Mythological Fiction,German
The Piano Teacher,Elfriede Jelinek,Psychological Fiction,German
The Rings of Saturn,W.G. Sebald,Experimental Fiction,German
Austerlitz,W.G. Sebald,Modernism,German
The Emigrants,W.G. Sebald,Modernism,German
The Tin Drum,Günter Grass,Magic Realism,German
Cat and Mouse,Günter Grass,Novella,German
Dog Years,Günter Grass,Magic Realism,German
I'm Not Stiller,Max Frisch,Philosophical Fiction,German
Homo Faber,Max Frisch,Philosophical Fiction,German
The Blue Flower,Penelope Fitzgerald,Historical Fiction,English
The Beginning of Spring,Penelope Fitzgerald,Historical Fiction,English
The Bookshop,Penelope Fitzgerald,Literary Fiction,English
A Dance to the Music of Time,Anthony Powell,Social Fiction,English
The Alexandria Quartet,Lawrence Durrell,Modernism,English
Under the Volcano,Malcolm Lowry,Modernism,English
The Power and the Glory,Graham Greene,Philosophical Fiction,English
The Heart of the Matter,Graham Greene,Psychological Fiction,English
The Quiet American,Graham Greene,Political Fiction,English
The End of the Affair,Graham Greene,Romance,English
Brideshead Revisited,Evelyn Waugh,Literary Fiction,English
A Handful of Dust,Evelyn Waugh,Satire,English
Scoop,Evelyn Waugh,Satire,English
Vile Bodies,Evelyn Waugh,Satire,English
Pnin,Vladimir Nabokov,Academic Satire,English
Ada or Ardor,Vladimir Nabokov,Family Saga,English
The Prime of Miss Jean Brodie,Muriel Spark,Literary Fiction,English
The Driver's Seat,Muriel Spark,Psychological Thriller,English
Memento Mori,Muriel Spark,Dark Comedy,English
The Girls of Slender Means,Muriel Spark,Literary Fiction,English
The Golden Notebook,Doris Lessing,Post-modernism,English
The Grass is Singing,Doris Lessing,Social Fiction,English
The Fifth Child,Doris Lessing,Horror/Drama,English
Memoirs of a Survivor,Doris Lessing,Dystopian,English
A Bend in the River,V.S. Naipaul,Political Fiction,English
A House for Mr Biswas,V.S. Naipaul,Family Saga,English
In a Free State,V.S. Naipaul,Literary Fiction,English
The Enigma of Arrival,V.S. Naipaul,Literary Fiction,English
Midnight's Children,Salman Rushdie,Magical Realism,English
Shame,Salman Rushdie,Magical Realism,English
The Moor's Last Sigh,Salman Rushdie,Magical Realism,English
Cloud Atlas,David Mitchell,Post-modernism,English
The Thousand Autumns of Jacob de Zoet,David Mitchell,Historical Fiction,English
Wolf Hall,Hilary Mantel,Historical Fiction,English
Bring Up the Bodies,Hilary Mantel,Historical Fiction,English
The Mirror & the Light,Hilary Mantel,Historical Fiction,English
Brooklyn,Colm Tóibín,Historical Fiction,English
The Master,Colm Tóibín,Biographical Fiction,English
